ra,dec,type,const,mag,name,primary_designation,id,id1,cat1,id2,cat2
4.45,15.85,OC,Tau,0.5,Hyades,,13229,41,C,,
5.39294,-69.7561,Gxy,-,0.8,Large Magellanic Cloud,,159903,056-115,ESO,17223,PGC
10.7524,-59.8678,Neb,Car,1,Carina Nebula,NGC 3372,5120,3372,NGC,92,C
5.57553,22.0144,Neb,Tau,8.4,Crab Nebula,M 1,3100,1,M,1952,NGC
10.72,-64.4,OC,Car,1.9,Southern Pleiades,,5113,2602,IC,102,C
0.877222,-72.8003,Gxy,Tuc,2.2,Small Magellanic Cloud,NGC 292,464,292,NGC,,
11.0965,-58.7703,OC,Car,3,Pincushion Cluster,NGC 3532,5343,3532,NGC,91,C
21.5581,-0.823056,GC,Aqr,6.6,,M 2,12123,2,M,7089,NGC
13.7031,28.3756,GC,CVn,6.3,,M 3,9036,3,M,5272,NGC
21.6517,57.5,OC+Neb,Cep,3.5,Elephant's Trunk Nebula,,12137,1396,IC,,
16.3932,-26.5253,GC,Sco,5.4,Spider Globular,M 4,10488,4,M,6121,NGC
19.4233,20.1833,OC,Vul,3.6,Brocchi's Cluster,,212723,399,Col,,
7.96864,-60.7533,OC,Car,3.8,Southern Beehive,NGC 2516,3711,2516,NGC,96,C
7.31153,-24.9542,OC,CMa,3.8,Tau Canis Majoris Cluster,NGC 2362,3541,2362,NGC,64,C
13.4461,-47.4769,GC,Cen,3.9,Omega Centauri,NGC 5139,8818,5139,NGC,80,C
0.401417,-72.0808,GC,Tuc,4,47 Tucanae,NGC 104,196,104,NGC,106,C
15.3094,2.08278,GC,Ser,5.7,Rose Cluster,M 5,10093,5,M,5904,NGC
6.68286,9.89556,OC+Neb,Mon,4.1,Cone Nebula,NGC 2264,3412,2264,NGC,,
17.6724,-32.2542,OC,Sco,4.2,Butterfly Cluster,M 6,10872,6,M,6405,NGC
12.8936,-60.3561,OC,Cru,4.2,Jewel Box,NGC 4755,7990,4755,NGC,94,C
17.8975,-34.7928,OC,Sco,3.3,Ptolemy's Cluster,M 7,10963,7,M,6475,NGC
11.61,-63.0333,OC+Neb,Cen,4.5,Running Chicken Nebula,,5938,2944,IC,100,C
18.0614,-24.3803,Neb,Sgr,5.8,Lagoon Nebula,M 8,11009,8,M,6523,NGC
17.3199,-18.5164,GC,Oph,7.8,,M 9,10775,9,M,6333,NGC
