ra,dec,type,const,mag,name,id,id1,cat1,id2,cat2
12.85,-62.5,DN,Cru,0.0,Coalsack,13231,99,C,,
4.45,15.85,OC,Tau,0.5,Hyades,13229,41,C,,
5.59333,-1.08333,OC,Ori,0.6,,212632,70,Col,,
8.04694,-46.3833,OC,Vel,0.6,,212658,173,Col,,
5.39294,-69.7561,Gxy,-,0.8,Large Magellanic Cloud,159903,056-115,ESO,17223.0,PGC
16.4333,-26.2167,OC,Sco,1.0,,212698,302,Col,,
10.7524,-59.8678,Neb,Car,1.0,Carina nebula,5120,3372,NGC,92.0,C
3.36667,49.0,OC,Per,1.2,,212628,39,Col,20,Mel
3.79,24.117,OC,Tau,1.6,Pleiades,13228,45,M,,
12.4167,26.0,OC,Com,1.8,,212683,256,Col,111,Mel
10.72,-64.4,OC,Car,1.9,Southern Pleiades,5113,2602,IC,102.0,C
7.28833,-36.8333,OC,Pup,2.1,,212649,135,Col,,
0.877222,-72.8003,Gxy,Tuc,2.2,Small Magellanic Cloud,464,292,NGC,,
8.67,-53.0667,OC,Vel,2.5,,4065,2391,IC,85.0,C
6.90333,-24.6333,OC,Cma,2.6,,212647,121,Col,,
16.903,-41.8242,OC,Sco,2.6,,10642,6231,NGC,76.0,C
5.59133,9.94111,OC,Ori,2.8,,212631,69,Col,,
7.75417,-37.9675,OC,Pup,2.8,,3653,2451,NGC,,
5.41806,15.6997,OC,Tau,3.0,,212630,65,Col,,
11.0965,-58.7703,OC,Car,3.0,,5343,3532,NGC,91.0,C
18.0183,2.9,OC,Oph,3.0,,212716,359,Col,186,Mel
8.67283,19.6719,OC,Cnc,3.1,Praesepe,4064,44,M,2632.0,NGC
17.8975,-34.7928,OC,Sco,3.3,,10963,7,M,6475.0,NGC
7.39833,-32.2,OC,Cma,3.5,,212650,140,Col,,
21.6517,57.5,OC+Neb,Cep,3.5,,12137,1396,IC,,
7.24,-31.1667,OC,Cma,3.6,,212648,132,Col,,
0.712306,41.2683,Gxy,And,3.6,,374,31,M,224.0,NGC
19.4233,20.1833,OC,Vul,3.6,,212723,399,Col,,
7.96864,-60.7533,OC,Car,3.8,,3711,2516,NGC,96.0,C
7.31153,-24.9542,OC,CMa,3.8,,3541,2362,NGC,64.0,C
13.4461,-47.4769,GC,Cen,3.9,omega Cen,8818,5139,NGC,80.0,C
0.401417,-72.0808,GC,Tuc,4.0,47 Tuc,196,104,NGC,106.0,C
2.05739,72.4208,*,Cas,4.0,,1300,771,NGC,,
5.58811,-5.39083,OC+Neb,Ori,4.0,,3116,42,M,1976.0,NGC
6.68286,9.89556,OC+Neb,Mon,4.1,Cone nebula,3412,2264,NGC,,
17.6724,-32.2542,OC,Sco,4.2,,10872,6,M,6405.0,NGC
12.8936,-60.3561,OC,Cru,4.2,Jewel Box,7990,4755,NGC,94.0,C
10.0452,-60.1089,OC,Car,4.2,,4754,3114,NGC,,
17.7717,5.71667,OC,Oph,4.2,,10912,4665,IC,,
6.46697,-4.8475,OC,Mon,4.2,,3374,2232,NGC,,
5.375,41.0,OC,Aur,4.2,,212629,62,Col,,
5.586,-4.425,OC,Ori,4.2,,3109,1981,NGC,,
10.4567,-57.6333,OC,Car,4.3,,4970,2581,IC,,
7.60972,-14.4825,OC,Pup,4.4,,3681,2478,NGC,,
7.60972,-14.4825,OC,Pup,4.4,,3623,47,M,2422.0,NGC
10.7011,-59.9167,OC,Car,4.4,,212673,228,Col,,
11.61,-63.0333,OC+Neb,Cen,4.5,lambda Cen nebula,5938,2944,IC,100.0,C
6.76667,-20.7542,OC,CMa,4.5,,3427,41,M,2287.0,NGC
6.61833,5.95,OC,Mon,4.6,,212642,106,Col,,
18.5267,-19.25,OC,Sgr,4.6,,11185,25,M,4725.0,IC
8.685,-48.2,OC,Vel,4.6,,4071,2395,IC,,
18.4542,6.50833,OC,Oph,4.6,,11165,6633,NGC,,
18.27,-18.47,GxyCld,Sgr,4.6,Sagittarius Star Cloud,13227,24,M,,
18.0753,-24.3581,OC+Neb,Sgr,4.6,,11014,6530,NGC,,
21.5301,48.4486,OC,Cyg,4.6,,12116,39,M,7092.0,NGC
8.16958,-49.2256,OC,Vel,4.7,,3793,2547,NGC,,
10.5983,-58.2361,OC,Car,4.7,,5037,3293,NGC,,
6.53211,4.94306,OC+Neb,Mon,4.8,,3389,2244,NGC,50.0,C
18.65,5.45,OC,Ser,5.0,,11239,4756,IC,,
10.7558,-59.75,OC,Car,5.0,,212677,234,Col,16,Tr
8.79833,-42.45,OC,Vel,5.0,,212665,203,Col,10,Tr
6.62833,4.73333,OC,Mon,5.1,,212643,107,Col,,
16.0547,-60.4317,OC,TrA,5.1,,10322,6025,NGC,95.0,C
6.14886,24.3578,OC,Gem,5.1,,3317,35,M,2168.0,NGC
18.6067,-23.9033,GC,Sgr,5.2,,11223,22,M,6656.0,NGC
2.70206,42.7461,OC,Per,5.2,,1666,34,M,1039.0,NGC
20.0998,35.7772,OC,Cyg,5.2,,11637,6871,NGC,,
16.6889,-48.7625,OC,Ara,5.2,,10578,6193,NGC,82.0,C
19.181,-59.9819,GC,Pav,5.3,,11408,6752,NGC,93.0,C
17.6781,-53.6736,GC,Ara,5.3,,10874,6397,NGC,86.0,C
11.604,-61.61,OC,Cen,5.3,,5929,3766,NGC,97.0,C
20.2886,-79.0333,OC,Oct,5.3,,212726,411,Col,227,Mel
2.31772,57.135,OC,Per,5.3,Double cluster,1425,869,NGC,14.0,C
17.0781,-37.9853,OC,Sco,5.4,,10702,6281,NGC,,
16.3932,-26.5253,GC,Sco,5.4,,10488,4,M,6121.0,NGC
16.314,-57.9344,OC,Nor,5.4,,10459,6087,NGC,89.0,C
6.52167,5.91667,OC,Mon,5.4,,212639,97,Col,,
6.80494,41.0789,OC,Aur,5.4,,3446,2281,NGC,,
17.9513,-18.9853,OC,Sgr,5.5,,10980,23,M,6494.0,NGC
14.5938,-56.6181,OC,Cen,5.5,,9707,5662,NGC,,
17.5784,-32.5814,OC,Sco,5.5,,10847,6383,NGC,,
10.7322,-59.55,OC,Car,5.5,,212674,230,Col,14,Tr
23.502,49.1342,OC,And,5.6,,13033,7686,NGC,,
5.87175,32.5531,OC,Aur,5.6,,3244,37,M,2099.0,NGC
16.2197,-54.2183,OC,Nor,5.6,,10418,6067,NGC,,
14.1244,-48.3425,OC,Cen,5.6,,9362,5460,NGC,,
15.3094,2.08278,GC,Ser,5.7,,10093,5,M,5904.0,NGC
6.3,23.6333,OC,Gem,5.7,,212635,89,Col,,
1.96331,37.85,OC,And,5.7,,1227,752,NGC,28.0,C
17.7389,-32.3611,OC,Sco,5.7,,10897,6416,NGC,,
7.86939,-38.5333,OC,Pup,5.8,,3673,2477,NGC,71.0,C
18.0614,-24.3803,Neb,Sgr,5.8,,11009,8,M,6523.0,NGC
16.4222,-40.6536,OC,Sco,5.8,,10495,6124,NGC,75.0,C
8.22864,-5.75056,OC,Hya,5.8,,3809,48,M,2548.0,NGC
1.56411,30.6603,Gxy,Tri,5.8,Triangulum galaxy,991,33,M,598.0,NGC
16.6948,36.46,GC,Her,5.8,,10582,13,M,6205.0,NGC
18.8516,-6.27,OC,Sct,5.8,Wild Duck cluster,11314,11,M,6705.0,NGC
16.9656,-45.9367,OC,Ara,5.9,,10662,6250,NGC,,
13.7764,-62.9164,OC,Cen,5.9,,9088,5281,NGC,,
